"NAV Fylke (inkl. fylkesvise spesialenheter som f.eks. ALS, ARK, med videre)",value,n,kategori
Flere internasjonale konflikter/kriger,2.14,1777,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.43,1777,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.38,1777,Nav som helhet
Økt mangel på arbeidskraft,2.44,1777,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.96,1777,Nav som helhet
NAV Hjelpemidler og tilrettelegging,NA,NA,Nav som helhet
Aldring av befolkningen,2.8,271,Nav som helhet
Økt arbeidsinnvandring,2.05,271,Nav som helhet
Flere flyktninger,2.2,271,Nav som helhet
Grønt skifte og klimautfordringer,2.16,271,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.16,271,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.47,271,Nav som helhet
Flere med fysiske og psykiske lidelser,2.5,271,Nav som helhet
Flere unge i utenforskap,2.39,271,Nav som helhet
Flere fattige,2.35,271,Nav som helhet
Innstramming/effektivisering av off. sektor,2.76,271,Nav som helhet
Lavere tillit til offentlig sektor,1.92,271,Nav som helhet
Økte forventninger til brukermedvirkning,2.55,271,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.77,271,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.45,271,Nav som helhet
Sentralisering av offentlige tjenester,2.23,271,Nav som helhet
Flere internasjonale konflikter/kriger,2.05,271,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.44,271,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.34,271,Nav som helhet
Økt mangel på arbeidskraft,2.23,271,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.92,271,Nav som helhet
NAV Kontaktsenter,NA,NA,Nav som helhet
Aldring av befolkningen,2.56,197,Nav som helhet
Økt arbeidsinnvandring,2.1,197,Nav som helhet
Flere flyktninger,2.2,197,Nav som helhet
Grønt skifte og klimautfordringer,2.04,197,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.29,197,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.48,197,Nav som helhet
Flere med fysiske og psykiske lidelser,2.56,197,Nav som helhet
Flere unge i utenforskap,2.52,197,Nav som helhet
Flere fattige,2.52,197,Nav som helhet
Innstramming/effektivisering av off. sektor,2.53,197,Nav som helhet
Lavere tillit til offentlig sektor,1.95,197,Nav som helhet
Økte forventninger til brukermedvirkning,2.39,197,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.76,197,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.42,197,Nav som helhet
Sentralisering av offentlige tjenester,2.15,197,Nav som helhet
Flere internasjonale konflikter/kriger,2.08,197,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.48,197,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.47,197,Nav som helhet
Økt mangel på arbeidskraft,2.33,197,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,2,197,Nav som helhet
NAV Arbeid og ytelser,NA,NA,Nav som helhet
Aldring av befolkningen,2.53,345,Nav som helhet
Økt arbeidsinnvandring,2.08,345,Nav som helhet
Flere flyktninger,2.17,345,Nav som helhet
Grønt skifte og klimautfordringer,1.98,345,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.26,345,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.46,345,Nav som helhet
Flere med fysiske og psykiske lidelser,2.54,345,Nav som helhet
Flere unge i utenforskap,2.48,345,Nav som helhet
Flere fattige,2.31,345,Nav som helhet
Innstramming/effektivisering av off. sektor,2.51,345,Nav som helhet
Lavere tillit til offentlig sektor,1.98,345,Nav som helhet
Økte forventninger til brukermedvirkning,2.27,345,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.73,345,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.37,345,Nav som helhet
Sentralisering av offentlige tjenester,2.21,345,Nav som helhet
Flere internasjonale konflikter/kriger,2.07,345,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.43,345,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.39,345,Nav som helhet
Økt mangel på arbeidskraft,2.26,345,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.96,345,Nav som helhet
NAV Familie- og pensjonsytelser,NA,NA,Nav som helhet
Aldring av befolkningen,2.64,195,Nav som helhet
Økt arbeidsinnvandring,2,195,Nav som helhet
Flere flyktninger,2.11,195,Nav som helhet
Grønt skifte og klimautfordringer,2.06,195,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.26,195,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.46,195,Nav som helhet
Flere med fysiske og psykiske lidelser,2.48,195,Nav som helhet
Flere unge i utenforskap,2.41,195,Nav som helhet
Flere fattige,2.34,195,Nav som helhet
Innstramming/effektivisering av off. sektor,2.62,195,Nav som helhet
Lavere tillit til offentlig sektor,1.92,195,Nav som helhet
Økte forventninger til brukermedvirkning,2.44,195,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.82,195,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.41,195,Nav som helhet
Sentralisering av offentlige tjenester,2.18,195,Nav som helhet
Flere internasjonale konflikter/kriger,2.13,195,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.54,195,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.42,195,Nav som helhet
Økt mangel på arbeidskraft,2.22,195,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.97,195,Nav som helhet
NAV Klageinstans,NA,NA,Nav som helhet
Aldring av befolkningen,2.47,58,Nav som helhet
Økt arbeidsinnvandring,1.93,58,Nav som helhet
Flere flyktninger,2.02,58,Nav som helhet
Grønt skifte og klimautfordringer,1.98,58,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.53,58,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.4,58,Nav som helhet
Flere med fysiske og psykiske lidelser,2.47,58,Nav som helhet
Flere unge i utenforskap,2.59,58,Nav som helhet
Flere fattige,2.22,58,Nav som helhet
Innstramming/effektivisering av off. sektor,2.34,58,Nav som helhet
Lavere tillit til offentlig sektor,2.05,58,Nav som helhet
Økte forventninger til brukermedvirkning,2.28,58,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.67,58,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.43,58,Nav som helhet
Sentralisering av offentlige tjenester,2.05,58,Nav som helhet
Flere internasjonale konflikter/kriger,1.98,58,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.52,58,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.41,58,Nav som helhet
Økt mangel på arbeidskraft,2.36,58,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.88,58,Nav som helhet
NAV Kontroll,NA,NA,Nav som helhet
Aldring av befolkningen,2.58,72,Nav som helhet
Økt arbeidsinnvandring,2.11,72,Nav som helhet
Flere flyktninger,2.28,72,Nav som helhet
Grønt skifte og klimautfordringer,1.94,72,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.31,72,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.39,72,Nav som helhet
Flere med fysiske og psykiske lidelser,2.39,72,Nav som helhet
Flere unge i utenforskap,2.42,72,Nav som helhet
Flere fattige,2.31,72,Nav som helhet
Innstramming/effektivisering av off. sektor,2.43,72,Nav som helhet
Lavere tillit til offentlig sektor,2.11,72,Nav som helhet
Økte forventninger til brukermedvirkning,2.29,72,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.71,72,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.32,72,Nav som helhet
Sentralisering av offentlige tjenester,2.01,72,Nav som helhet
Flere internasjonale konflikter/kriger,2.14,72,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.47,72,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.46,72,Nav som helhet
Økt mangel på arbeidskraft,2.24,72,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.93,72,Nav som helhet
NAV Økonomitjeneste,NA,NA,Nav som helhet
Aldring av befolkningen,2.72,61,Nav som helhet
Økt arbeidsinnvandring,2.2,61,Nav som helhet
Flere flyktninger,2.31,61,Nav som helhet
Grønt skifte og klimautfordringer,2.28,61,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.44,61,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.51,61,Nav som helhet
Flere med fysiske og psykiske lidelser,2.51,61,Nav som helhet
Flere unge i utenforskap,2.44,61,Nav som helhet
Flere fattige,2.3,61,Nav som helhet
Innstramming/effektivisering av off. sektor,2.43,61,Nav som helhet
Lavere tillit til offentlig sektor,2,61,Nav som helhet
Økte forventninger til brukermedvirkning,2.54,61,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.87,61,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.59,61,Nav som helhet
Sentralisering av offentlige tjenester,2.3,61,Nav som helhet
Flere internasjonale konflikter/kriger,2.07,61,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.62,61,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.52,61,Nav som helhet
Økt mangel på arbeidskraft,2.39,61,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.95,61,Nav som helhet
Arbeids- og velferdsdirektoratet,NA,NA,Nav som helhet
Aldring av befolkningen,2.59,276,Nav som helhet
Økt arbeidsinnvandring,1.85,276,Nav som helhet
Flere flyktninger,1.97,276,Nav som helhet
Grønt skifte og klimautfordringer,1.96,276,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.33,276,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.43,276,Nav som helhet
Flere med fysiske og psykiske lidelser,2.27,276,Nav som helhet
Flere unge i utenforskap,2.38,276,Nav som helhet
Flere fattige,2.05,276,Nav som helhet
Innstramming/effektivisering av off. sektor,2.37,276,Nav som helhet
Lavere tillit til offentlig sektor,1.84,276,Nav som helhet
Økte forventninger til brukermedvirkning,2.33,276,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.7,276,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.55,276,Nav som helhet
Sentralisering av offentlige tjenester,1.86,276,Nav som helhet
Flere internasjonale konflikter/kriger,1.91,276,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.36,276,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.26,276,Nav som helhet
Økt mangel på arbeidskraft,2.22,276,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.83,276,Nav som helhet
Total,NA,NA,Nav som helhet
Aldring av befolkningen,2.59,3656,Nav som helhet
Økt arbeidsinnvandring,2,3656,Nav som helhet
Flere flyktninger,2.2,3656,Nav som helhet
Grønt skifte og klimautfordringer,2.06,3656,Nav som helhet
Manglende etterspurt kompetanse blant arbeidssøkere,2.46,3656,Nav som helhet
Økt omstillingstakt i arbeidslivet,2.51,3656,Nav som helhet
Flere med fysiske og psykiske lidelser,2.54,3656,Nav som helhet
Flere unge i utenforskap,2.53,3656,Nav som helhet
Flere fattige,2.38,3656,Nav som helhet
Innstramming/effektivisering av off. sektor,2.53,3656,Nav som helhet
Lavere tillit til offentlig sektor,1.92,3656,Nav som helhet
Økte forventninger til brukermedvirkning,2.38,3656,Nav som helhet
Digitaliseringen av offentlige tjenester øker,2.71,3656,Nav som helhet
Økte forventninger til samarbeid på tvers av sektorer,2.49,3656,Nav som helhet
Sentralisering av offentlige tjenester,2.17,3656,Nav som helhet
Flere internasjonale konflikter/kriger,2.1,3656,Nav som helhet
Økte forventninger til at off. tjenester har effekt,2.45,3656,Nav som helhet
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.37,3656,Nav som helhet
Økt mangel på arbeidskraft,2.38,3656,Nav som helhet
Økende politisk polarisering og konfliktnivå i Norge,1.95,3656,Nav som helhet
Aldring av befolkningen,1.82,395,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.67,395,Egne arbeidsoppgaver
Flere flyktninger,1.61,395,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.71,395,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,2.15,395,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.44,395,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.16,395,Egne arbeidsoppgaver
Flere unge i utenforskap,2.18,395,Egne arbeidsoppgaver
Flere fattige,1.61,395,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.44,395,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.77,395,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.01,395,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.46,395,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.32,395,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,1.99,395,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.53,395,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.43,395,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,1.93,395,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,2.14,395,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.62,395,Egne arbeidsoppgaver
NAV-kontor,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.9,1777,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.87,1777,Egne arbeidsoppgaver
Flere flyktninger,1.99,1777,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.63,1777,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,2.38,1777,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.38,1777,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.56,1777,Egne arbeidsoppgaver
Flere unge i utenforskap,2.46,1777,Egne arbeidsoppgaver
Flere fattige,2.26,1777,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.43,1777,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.92,1777,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.28,1777,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.48,1777,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.41,1777,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.03,1777,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.79,1777,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.33,1777,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.05,1777,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,2.28,1777,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.69,1777,Egne arbeidsoppgaver
NAV Hjelpemidler og tilrettelegging,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,2.47,271,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.48,271,Egne arbeidsoppgaver
Flere flyktninger,1.73,271,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.77,271,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.61,271,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.04,271,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.06,271,Egne arbeidsoppgaver
Flere unge i utenforskap,1.73,271,Egne arbeidsoppgaver
Flere fattige,1.46,271,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.58,271,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.79,271,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.44,271,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.65,271,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.31,271,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.17,271,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.66,271,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.26,271,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,1.87,271,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.66,271,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.55,271,Egne arbeidsoppgaver
NAV Kontaktsenter,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.9,197,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.95,197,Egne arbeidsoppgaver
Flere flyktninger,1.86,197,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.56,197,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.96,197,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.23,197,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.23,197,Egne arbeidsoppgaver
Flere unge i utenforskap,2.17,197,Egne arbeidsoppgaver
Flere fattige,2.19,197,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.42,197,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,2.18,197,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.27,197,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.74,197,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.15,197,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.06,197,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.79,197,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.36,197,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.35,197,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.98,197,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.76,197,Egne arbeidsoppgaver
NAV Arbeid og ytelser,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.74,345,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.77,345,Egne arbeidsoppgaver
Flere flyktninger,1.67,345,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.49,345,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.68,345,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.12,345,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.18,345,Egne arbeidsoppgaver
Flere unge i utenforskap,1.93,345,Egne arbeidsoppgaver
Flere fattige,1.73,345,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.44,345,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.88,345,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.12,345,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.61,345,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.02,345,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.19,345,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.59,345,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.21,345,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.05,345,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.7,345,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.59,345,Egne arbeidsoppgaver
NAV Familie- og pensjonsytelser,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,2.01,195,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.64,195,Egne arbeidsoppgaver
Flere flyktninger,1.64,195,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.53,195,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.56,195,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.07,195,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,1.68,195,Egne arbeidsoppgaver
Flere unge i utenforskap,1.57,195,Egne arbeidsoppgaver
Flere fattige,1.65,195,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.53,195,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.91,195,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.3,195,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.71,195,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,1.94,195,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,2.24,195,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.61,195,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.28,195,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.06,195,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.58,195,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.55,195,Egne arbeidsoppgaver
NAV Klageinstans,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.59,58,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.52,58,Egne arbeidsoppgaver
Flere flyktninger,1.43,58,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.47,58,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.66,58,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,1.95,58,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,2.07,58,Egne arbeidsoppgaver
Flere unge i utenforskap,1.86,58,Egne arbeidsoppgaver
Flere fattige,1.67,58,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.26,58,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,2.12,58,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,2.05,58,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.52,58,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.02,58,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,1.91,58,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.34,58,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.33,58,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,1.95,58,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.67,58,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.43,58,Egne arbeidsoppgaver
NAV Kontroll,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.47,72,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.94,72,Egne arbeidsoppgaver
Flere flyktninger,1.71,72,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.46,72,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.51,72,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,1.92,72,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,1.53,72,Egne arbeidsoppgaver
Flere unge i utenforskap,1.47,72,Egne arbeidsoppgaver
Flere fattige,1.51,72,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.21,72,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.96,72,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,1.78,72,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.56,72,Egne arbeidsoppgaver
Økte forventninger til samarbeid på tvers av sektorer,2.26,72,Egne arbeidsoppgaver
Sentralisering av offentlige tjenester,1.81,72,Egne arbeidsoppgaver
Flere internasjonale konflikter/kriger,1.71,72,Egne arbeidsoppgaver
Økte forventninger til at off. tjenester har effekt,2.21,72,Egne arbeidsoppgaver
Økte forv. til at det off. kan håndtere uforutsette situasjoner,2.06,72,Egne arbeidsoppgaver
Økt mangel på arbeidskraft,1.54,72,Egne arbeidsoppgaver
Økende politisk polarisering og konfliktnivå i Norge,1.64,72,Egne arbeidsoppgaver
NAV Økonomitjeneste,NA,NA,Egne arbeidsoppgaver
Aldring av befolkningen,1.69,61,Egne arbeidsoppgaver
Økt arbeidsinnvandring,1.48,61,Egne arbeidsoppgaver
Flere flyktninger,1.46,61,Egne arbeidsoppgaver
Grønt skifte og klimautfordringer,1.54,61,Egne arbeidsoppgaver
Manglende etterspurt kompetanse blant arbeidssøkere,1.59,61,Egne arbeidsoppgaver
Økt omstillingstakt i arbeidslivet,2.16,61,Egne arbeidsoppgaver
Flere med fysiske og psykiske lidelser,1.56,61,Egne arbeidsoppgaver
Flere unge i utenforskap,1.51,61,Egne arbeidsoppgaver
Flere fattige,1.52,61,Egne arbeidsoppgaver
Innstramming/effektivisering av off. sektor,2.34,61,Egne arbeidsoppgaver
Lavere tillit til offentlig sektor,1.72,61,Egne arbeidsoppgaver
Økte forventninger til brukermedvirkning,1.92,61,Egne arbeidsoppgaver
Digitaliseringen av offentlige tjenester øker,2.7,61,Egne arbeidsoppgaver
